case_number,date_time_reported,location_of_occurence,domesticdv_relationship,incident_type,criminal_offense,disposition
2019-00000733,05/10/2019 12:46:00 am,"1000 ELM ST, Columbia MO, 65201",,All Other Offenses (Except Traffic),Maintenance of fire suppression equipment; tampering prohibited,Open Not Active
2019-00000730,05/09/2019 12:35:00 am,"S PROVIDENCE RD/HINKSON CREEK , Columbia MO,",,Driving Under The Influence,Driving While Intoxicated,Cleared by Arrest Adult
2019-00000730,05/09/2019 12:35:00 am,"S PROVIDENCE RD/HINKSON CREEK , Columbia MO,",,Not Counted For UCR,Failure to drive within a single lane,Cleared by Arrest Adult
2019-00000729,05/08/2019 08:47:00 pm,"905 HITT ST, Columbia MO, 65201",,"Possession Marijuana, Hashish, etc.",Possession of 35 grams or less of marijuana,Cleared by Arrest Adult
2019-00000728,05/07/2019 07:07:00 pm,"701 5TH ST, Columbia MO, 65201",,Theft Non-Motor Vehicle,Stealing,Open - Active
2019-00000728,05/07/2019 07:07:00 pm,"701 5TH ST, Columbia MO, 65201",,Theft Non-Motor Vehicle,Stealing,Open Not Active
2019-00000727,05/07/2019 03:41:00 pm,"1004 TIGER AVE , Columbia MO,",,Vandalism,Second degree property damage,Open - Active
2019-00000727,05/07/2019 03:41:00 pm,"1004 TIGER AVE , Columbia MO,",,Vandalism,Second degree property damage,Open Not Active
2019-00000726,05/07/2019 02:21:00 pm,"1 HOSPITAL DR, Columbia MO, 65201",,Vandalism,PROPERTY DAMAGE 2ND DEGREE,Exceptly Cleared Adult
2019-00000726,05/07/2019 02:21:00 pm,"1 HOSPITAL DR, Columbia MO, 65201",,Vandalism,PROPERTY DAMAGE 2ND DEGREE,Open - Active
2019-00000725,05/07/2019 01:36:00 pm,"800 HITT ST, Columbia MO, 65201",,Vandalism,Second degree property damage,Open - Active
2019-00000725,05/07/2019 01:36:00 pm,"800 HITT ST, Columbia MO, 65201",,Vandalism,Second degree property damage,Open Not Active
2019-00000724,05/07/2019 11:49:00 am,"1621 RESEARCH PARK DR, Columbia MO, 65201",,Not Counted For UCR,WARRANT-MISD.,Cleared by Arrest Adult
2019-00000723,05/06/2019 09:42:00 pm,"1024 ASHLAND RD, Columbia MO, 0",,"Possession Marijuana, Hashish, etc.",Possession of 35 grams or less of marijuana,Cleared by Arrest Adult
2019-00000722,05/06/2019 04:29:00 pm,"1 HOSPITAL DR, Columbia MO, 65201",,Simple Assault,HARASSMENT - 2ND DEGREE,Cleared by Arrest Adult
2019-00000722,05/06/2019 04:29:00 pm,"1 HOSPITAL DR, Columbia MO, 65201",,Simple Assault,HARASSMENT - 2ND DEGREE,Open - Active
2019-00000720,05/06/2019 01:06:00 pm,"500 KEENE ST, Columbia MO, 65201",,All Other Offenses (Except Traffic),Leaving the scene/Failure to report,Open - Active
2019-00000720,05/06/2019 01:06:00 pm,"500 KEENE ST, Columbia MO, 65201",,All Other Offenses (Except Traffic),Leaving the scene/Failure to report,Open Not Active
2019-00000719,05/06/2019 12:24:00 pm,"800 HITT ST, Columbia MO, 65201",,Theft Non-Motor Vehicle,Stealing,Open - Active
2019-00000719,05/06/2019 12:24:00 pm,"800 HITT ST, Columbia MO, 65201",,Theft Non-Motor Vehicle,Stealing,Open Not Active
2019-00000718,05/06/2019 11:15:00 am,"1007 MARYLAND AVE, Columbia MO, 65201",,Vandalism,PROPERTY DAMAGE 1ST DEGREE,Open - Active
2019-00000718,05/06/2019 11:15:00 am,"1007 MARYLAND AVE, Columbia MO, 65201",,Vandalism,PROPERTY DAMAGE 1ST DEGREE,Open Not Active
2019-00000717,05/06/2019 01:37:00 am,"MONK DR/E  STADIUM BLVD, Columbia MO, 65201",,All Other Offenses (Except Traffic),UNLAWFUL POSSESSION OF DRUG PARAPHERNALIA,Cleared by Arrest Adult
2019-00000717,05/06/2019 01:37:00 am,"MONK DR/E  STADIUM BLVD, Columbia MO, 65201",,Driving Under The Influence,DRIVING WHILE INTOXICATED,Cleared by Arrest Adult
2019-00000717,05/06/2019 01:37:00 am,"MONK DR/E  STADIUM BLVD, Columbia MO, 65201",,Forgery and Counterfeiting,FORGERY,Cleared by Arrest Adult
2019-00000717,05/06/2019 01:37:00 am,"MONK DR/E  STADIUM BLVD, Columbia MO, 65201",,Not Counted For UCR,DISPLAYED UNLAWFUL PLATE/PLACARD ON MOTOR VEHICLE/TRAILER,Cleared by Arrest Adult
2019-00000717,05/06/2019 01:37:00 am,"MONK DR/E  STADIUM BLVD, Columbia MO, 65201",,Not Counted For UCR,OPERATED MOTOR VEHICLE IN A CARELESS AND IMPRUDENTMANNER - DID NOT RESULT IN AN ACCIDENT,Cleared by Arrest Adult
2019-00000717,05/06/2019 01:37:00 am,"MONK DR/E  STADIUM BLVD, Columbia MO, 65201",,Not Counted For UCR,OPERATED VEHICLE ON HIGHWAY W/O VALID LIC - 1ST/2ND OFFENSE,Cleared by Arrest Adult
2019-00000715,05/06/2019 12:13:00 am,"PROVIDENCE RD/ KENTUCKY BLVD, Columbia MO, 65203",,Not Counted For UCR,WARRANT-MISD.,Cleared by Arrest Adult
2019-00000714,05/05/2019 09:11:00 pm,"1100 ROLLINS ST, Columbia MO, 65201",,Liquor Laws,Purchase or possession of intoxicants by minor,Cleared by Arrest Adult
2019-00000713,05/05/2019 05:02:00 pm,"800 HITT ST, Columbia MO, 65201",,"Possession Marijuana, Hashish, etc.",Possession of 35 grams or less of marijuana,Cleared by Arrest Adult
2019-00000713,05/05/2019 05:02:00 pm,"800 HITT ST, Columbia MO, 65201",,"Possession Marijuana, Hashish, etc.",Possession of drug paraphernalia,Cleared by Arrest Adult
2019-00000712,05/05/2019 04:39:00 pm,"800 HITT ST, Columbia MO, 65201",,Vandalism,Second degree property damage,Exceptly Cleared Adult
2019-00000710,05/05/2019 01:55:00 am,"610 ELM ST, Columbia MO, 65201",,Not Counted For UCR,WARRANT-MISD.,Cleared by Arrest Adult
2019-00000710,05/05/2019 01:55:00 am,"610 ELM ST, Columbia MO, 65201",,Not Counted For UCR,WARRANT-MISD.,Open - Active
2019-00000710,05/05/2019 01:55:00 am,"610 ELM ST, Columbia MO, 65201",,Theft Non-Motor Vehicle,STEALING MISDEMEANOR,Cleared by Arrest Adult
2019-00000710,05/05/2019 01:55:00 am,"610 ELM ST, Columbia MO, 65201",,Theft Non-Motor Vehicle,STEALING MISDEMEANOR,Open - Active
2019-00000709,05/05/2019 12:23:00 am,"615 LOCUST ST, Columbia MO, 65201",,Discoderly Conduct,Public nuisance,Cleared by Arrest Adult
2019-00000709,05/05/2019 12:23:00 am,"615 LOCUST ST, Columbia MO, 65201",,Liquor Laws,Purchase or possession of intoxicants by minor,Cleared by Arrest Adult
2019-00000708,05/05/2019 12:03:00 am,"LOCUST ST/S  10TH ST, Columbia MO, 65201",,Liquor Laws,Purchase or possession of intoxicants by minor,Exceptly Cleared Adult
2019-00000707,05/04/2019 10:36:00 pm,"1250 HOSPITAL DR, Columbia MO, 65201",,All Other Offenses (Except Traffic),Leaving the scene/Failure to report,Open - Active
2019-00000707,05/04/2019 10:36:00 pm,"1250 HOSPITAL DR, Columbia MO, 65201",,All Other Offenses (Except Traffic),Leaving the scene/Failure to report,Open Not Active
2019-00000705,05/04/2019 07:16:00 pm,"1 HOSPITAL DR, Columbia MO, 65201",,All Other Offenses (Except Traffic),TRESPASS 1ST DEGREE,Cleared by Arrest Adult
2019-00000704,05/04/2019 03:59:00 pm,"1 HOSPITAL DR, Columbia MO, 65201",,All Other Offenses (Except Traffic),TRESPASS 1ST DEGREE,Cleared by Arrest Adult
2019-00000703,05/04/2019 05:55:00 am,"3 HOSPITAL DR, Columbia MO, 65201",,Vandalism,Second degree property damage,Cleared by Arrest Adult
2019-00000702,05/04/2019 04:27:00 am,"810 TIGER AVE , Columbia MO,",,Liquor Laws,Purchase or possession of intoxicants by minor,Exceptly Cleared Adult
2019-00000701,05/04/2019 03:40:00 am,"404 KENTUCKY BLVD, Columbia MO, 65201",,Liquor Laws,Purchase or possession of intoxicants by minor,Exceptly Cleared Adult
2019-00000700,05/04/2019 12:17:00 am,"5TH ST/ ELM ST, Columbia MO, 65201",,Liquor Laws,Purchase or possession of intoxicants by minor,Exceptly Cleared Adult
2019-00000699,05/04/2019 02:46:00 am,"700 TIGER AVE , Columbia MO,",,Vandalism,PROPERTY DAMAGE 2ND DEGREE,Open - Active
2019-00000699,05/04/2019 02:46:00 am,"700 TIGER AVE , Columbia MO,",,Vandalism,PROPERTY DAMAGE 2ND DEGREE,Open Not Active
2019-00000697,05/04/2019 01:03:00 am,"PROVIDENCE RD/E  WALNUT ST, Columbia MO, 65203",,All Other Offenses (Except Traffic),False identification,Cleared by Arrest Adult
2019-00000697,05/04/2019 01:03:00 am,"PROVIDENCE RD/E  WALNUT ST, Columbia MO, 65203",,Driving Under The Influence,Driving While Intoxicated,Cleared by Arrest Adult
2019-00000697,05/04/2019 01:03:00 am,"PROVIDENCE RD/E  WALNUT ST, Columbia MO, 65203",,Not Counted For UCR,Improper lights,Cleared by Arrest Adult
2019-00000697,05/04/2019 01:03:00 am,"PROVIDENCE RD/E  WALNUT ST, Columbia MO, 65203",,"Possession Marijuana, Hashish, etc.",Possession of drug paraphernalia,Cleared by Arrest Adult
2019-00000696,05/04/2019 12:40:00 am,"525 ELM ST, Columbia MO, 65201",,All Other Offenses (Except Traffic),False identification,Cleared by Arrest Adult
2019-00000696,05/04/2019 12:40:00 am,"525 ELM ST, Columbia MO, 65201",,Liquor Laws,Purchase or possession of intoxicants by minor,Cleared by Arrest Adult
2019-00000695,05/04/2019 12:04:00 am,"510 9TH ST, Columbia MO, 65201",,Liquor Laws,Purchase or possession of intoxicants by minor,Exceptly Cleared Adult
2019-00000692,05/03/2019 11:02:00 am,"1100 UNIVERSITY AVE, Columbia MO, 65201",,Simple Assault,HARASSMENT TO FRIGHTEN OR DISTURB ANOTHER PERSON,Cleared by Arrest Adult
2019-00000692,05/03/2019 11:02:00 am,"1100 UNIVERSITY AVE, Columbia MO, 65201",,Simple Assault,HARASSMENT TO FRIGHTEN OR DISTURB ANOTHER PERSON,Open - Active
2019-00000689,05/02/2019 08:03:00 pm,"CHAMPIONS DR/ MICK DEAVER MEMORIAL DR, Columbia MO, 65201",,Liquor Laws,Purchase or possession of intoxicants by minor,Cleared by Arrest Adult
2019-00000688,05/03/2019 02:18:00 am,"606 ROLLINS ST, Columbia MO, 65201",,Liquor Laws,Purchase or possession of intoxicants by minor,Exceptly Cleared Adult
2019-00000687,05/03/2019 02:17:00 am,"LOCUST ST/ WAUGH ST, Columbia MO, 65201",,Liquor Laws,Purchase or possession of intoxicants by minor,Exceptly Cleared Adult
2019-00000686,05/03/2019 01:44:00 am,"505 HITT ST, Columbia MO, 65201",,Discoderly Conduct,Public nuisance,Cleared by Arrest Adult
2019-00000682,05/02/2019 08:35:00 pm,"1 HOSPITAL DR, Columbia MO, 65201",,Theft Non-Motor Vehicle,STEALING - VALUE LESS THAN $150 AND NO PRIOR STEALING OFFENSE,Open - Active
2019-00000682,05/02/2019 08:35:00 pm,"1 HOSPITAL DR, Columbia MO, 65201",,Theft Non-Motor Vehicle,STEALING - VALUE LESS THAN $150 AND NO PRIOR STEALING OFFENSE,Open Not Active
2019-00000678,05/02/2019 03:42:00 pm,"1000 VIRGINA AVE , Columbia MO,",,Theft Non-Motor Vehicle,Stealing,Closed Inactive
2019-00000678,05/02/2019 03:42:00 pm,"1000 VIRGINA AVE , Columbia MO,",,Theft Non-Motor Vehicle,Stealing,Exceptly Cleared Adult
2019-00000674,05/02/2019 08:34:00 am,"1095 VIRGINIA AVE , Columbia MO,",,Theft Non-Motor Vehicle,STEALING - $750 OR MORE D FEL,Cleared by Arrest Adult
2019-00000674,05/02/2019 08:34:00 am,"1095 VIRGINIA AVE , Columbia MO,",,Theft Non-Motor Vehicle,STEALING - $750 OR MORE D FEL,Open - Active
2019-00000673,05/02/2019 04:42:00 am,"900 CAMPUS DR, Columbia MO, 65201",,All Other Offenses (Except Traffic),False identification,Cleared by Arrest Adult
2019-00000673,05/02/2019 04:42:00 am,"900 CAMPUS DR, Columbia MO, 65201",,Liquor Laws,Purchase or possession of intoxicants by minor,Cleared by Arrest Adult
2019-00000672,05/02/2019 02:15:00 am,"COLLEGE AVE/ ROLLINS ST, Columbia MO, 65201",,All Other Offenses (Except Traffic),False identification,Cleared by Arrest Adult
2019-00000672,05/02/2019 02:15:00 am,"COLLEGE AVE/ ROLLINS ST, Columbia MO, 65201",,Liquor Laws,Purchase or possession of intoxicants by minor,Cleared by Arrest Adult
2019-00000671,05/02/2019 01:01:00 am,"PROVIDENCE RD/E  STADIUM BLVD, Columbia MO, 65203",,Liquor Laws,Purchase or possession of intoxicants by minor,Exceptly Cleared Adult
2019-00000670,05/02/2019 12:44:00 am,"9TH ST/ UNIVERSITY AVE, Columbia MO, 65201",,All Other Offenses (Except Traffic),False identification,Cleared by Arrest Adult
2019-00000670,05/02/2019 12:44:00 am,"9TH ST/ UNIVERSITY AVE, Columbia MO, 65201",,Liquor Laws,Purchase or possession of intoxicants by minor,Cleared by Arrest Adult
2019-00000669,05/02/2019 12:15:00 am,"411 PROVIDENCE RD, Columbia MO, 65203",,All Other Offenses (Except Traffic),Harassment,Exceptly Cleared Adult
2019-00000669,05/02/2019 12:15:00 am,"411 PROVIDENCE RD, Columbia MO, 65203",,All Other Offenses (Except Traffic),Harassment,Open - Active
2019-00000667,05/01/2019 04:30:00 pm,"1007 MARYLAND AVE, Columbia MO, 65201",,Vandalism,PROPERTY DAMAGE 2ND DEGREE,Open - Active
2019-00000667,05/01/2019 04:30:00 pm,"1007 MARYLAND AVE, Columbia MO, 65201",,Vandalism,PROPERTY DAMAGE 2ND DEGREE,Open Not Active
2019-00000666,05/01/2019 02:55:00 pm,"507 9TH ST, Columbia MO, 65201",,Theft Non-Motor Vehicle,Stealing,Open - Active
2019-00000666,05/01/2019 02:55:00 pm,"507 9TH ST, Columbia MO, 65201",,Theft Non-Motor Vehicle,Stealing,Unfounded
2019-00000665,05/01/2019 01:29:00 pm,"518 HITT ST, Columbia MO, 65201",,Theft Non-Motor Vehicle,Stealing,Open - Active
2019-00000665,05/01/2019 01:29:00 pm,"518 HITT ST, Columbia MO, 65201",,Theft Non-Motor Vehicle,Stealing,Open Not Active
2019-00000664,05/01/2019 11:15:00 am,"404 KEENE ST, Columbia MO, 65201",,Theft Non-Motor Vehicle,STEALING MISDEMEANOR,Open - Active
2019-00000664,05/01/2019 11:15:00 am,"404 KEENE ST, Columbia MO, 65201",,Theft Non-Motor Vehicle,STEALING MISDEMEANOR,Open Not Active
2019-00000663,05/01/2019 09:44:00 am,"1 HOSPITAL DR, Columbia MO, 65201",,All Other Offenses (Except Traffic),TRESPASS 1ST DEGREE,Cleared by Arrest Adult
2019-00000662,05/01/2019 01:30:00 am,"800 HITT ST, Columbia MO, 65201",,Liquor Laws,Purchase or possession of intoxicants by minor,Exceptly Cleared Adult
2019-00000661,04/30/2019 03:48:00 pm,"GATEWAY HALL , Columbia MO,",,All Other Offenses (Except Traffic),Harassment,Exceptly Cleared Adult
2019-00000659,04/30/2019 04:58:00 pm,"810 ROLLINS ST, Columbia MO, 65201",,All Other Offenses (Except Traffic),"LEFT THE SCENE OF A MOTOR VEHICLE ACCIDENT over $1,000.00",Open - Active
2019-00000659,04/30/2019 04:58:00 pm,"810 ROLLINS ST, Columbia MO, 65201",,All Other Offenses (Except Traffic),"LEFT THE SCENE OF A MOTOR VEHICLE ACCIDENT over $1,000.00",Open Not Active
2019-00000655,04/30/2019 12:19:00 pm,"3 HOSPITAL DR, Columbia MO, 65201",,Simple Assault,"ASSAULT - 4TH DEGREE - PURSUANT TO SUBDIVISIONS (3), (6) - SPECIAL VICTIMS",Cleared by Arrest Adult
2019-00000655,04/30/2019 12:19:00 pm,"3 HOSPITAL DR, Columbia MO, 65201",,Simple Assault,"ASSAULT - 4TH DEGREE - PURSUANT TO SUBDIVISIONS (3), (6) - SPECIAL VICTIMS",Open - Active
2019-00000654,04/30/2019 09:36:00 am,"1002 MONK DR, Columbia MO, 65201",,Not Counted For UCR,OP MTR VEH HWY DRI LIC/PRIV SUSP PROB CAUSE .08 BAC & 0 TOL,Cleared by Arrest Adult
2019-00000654,04/30/2019 09:36:00 am,"1002 MONK DR, Columbia MO, 65201",,Not Counted For UCR,OP MTR VEH HWY DRI LIC/PRIV SUSP PROB CAUSE .08 BAC & 0 TOL,Closed Inactive
2019-00000653,04/30/2019 09:19:00 am,"520 9TH ST, Columbia MO, 65201",,Sex Offenses,SEXUAL MISCONDUCT - 1st  degree,Open - Active
2019-00000653,04/30/2019 09:19:00 am,"520 9TH ST, Columbia MO, 65201",,Sex Offenses,SEXUAL MISCONDUCT - 1st  degree,Open Not Active
2019-00000651,04/29/2019 09:52:00 pm,"COLLEGE AVE/ BOUCHELLE AVE, Columbia MO, 65201",,Driving Under The Influence,DRIVING WHILE INTOXICATED,Cleared by Arrest Adult
2019-00000651,04/29/2019 09:52:00 pm,"COLLEGE AVE/ BOUCHELLE AVE, Columbia MO, 65201",,Not Counted For UCR,OPERATED MOTOR VEHICLE IN A CARELESS AND IMPRUDENTMANNER - DID NOT RESULT IN AN ACCIDENT,Cleared by Arrest Adult
2019-00000649,04/29/2019 01:53:00 pm,"115 BUSINESS 70 LOOP, Columbia MO, 65203",,Arson,ARSON 1ST DEGREE,Open - Active
2019-00000649,04/29/2019 01:53:00 pm,"115 BUSINESS 70 LOOP, Columbia MO, 65203",,Arson,ARSON 1ST DEGREE,Open Not Active
2019-00000648,04/29/2019 10:25:00 am,"3 HOSPITAL DR, Columbia MO, 65201",,Simple Assault,"ASSAULT - 4TH DEGREE - PURSUANT TO SUBDIVISIONS (3), (6) - SPECIAL VICTIMS",Cleared by Arrest Adult
2019-00000648,04/29/2019 10:25:00 am,"3 HOSPITAL DR, Columbia MO, 65201",,Simple Assault,"ASSAULT - 4TH DEGREE - PURSUANT TO SUBDIVISIONS (3), (6) - SPECIAL VICTIMS",Open - Active
2019-00000647,04/29/2019 08:22:00 am,"3 HOSPITAL DR, Columbia MO, 65201",,Simple Assault,Simple Assault,Closed Inactive
2019-00000647,04/29/2019 08:22:00 am,"3 HOSPITAL DR, Columbia MO, 65201",,Simple Assault,Simple Assault,Open Not Active
2019-00000646,04/29/2019 07:51:00 am,"COLLEGE AVE/ UNIVERSITY AVE, Columbia MO, 65201",,Not Counted For UCR,OP MTR VEH ON HWY DRI LIC SUSP FOR NONPAY OF CHILD SUPPORT,Cleared by Arrest Adult
2019-00000645,04/28/2019 11:54:00 pm,"ROCK QUARRY RD/E  STADIUM BLVD, Columbia MO, 65201",,"Poss/Non-Narcotic/Barbituates, etc.",POSSESS CONTROLLED SUBSTANCE EXCEPT 35 GRAMS OR LESS MARIJUANA,Cleared by Arrest Adult
2019-00000645,04/28/2019 11:54:00 pm,"ROCK QUARRY RD/E  STADIUM BLVD, Columbia MO, 65201",,"Possession Marijuana, Hashish, etc.",POSSESSION OF MARIJUANA/SYNTHETIC CANNABINOID OF 11-35,Cleared by Arrest Adult
2019-00000645,04/28/2019 11:54:00 pm,"ROCK QUARRY RD/E  STADIUM BLVD, Columbia MO, 65201",,"Weapons Carrying, Possessing, etc.",UNLAWFUL USE OF WEAPON FELONY,Cleared by Arrest Adult
2019-00000644,04/28/2019 04:59:00 pm,"901 ROLLINS ST, Columbia MO, 65201",,All Other Offenses (Except Traffic),Deceiving,Open Not Active
2019-00000644,04/28/2019 04:59:00 pm,"901 ROLLINS ST, Columbia MO, 65201",,All Other Offenses (Except Traffic),False identification,Open Not Active
2019-00000642,04/28/2019 11:37:00 am,"PARKING LOT SG4 , Columbia MO,",,All Other Offenses (Except Traffic),"LEFT THE SCENE OF A MOTOR VEHICLE ACCIDENT over $1,000.00",Open - Active
2019-00000642,04/28/2019 11:37:00 am,"PARKING LOT SG4 , Columbia MO,",,All Other Offenses (Except Traffic),"LEFT THE SCENE OF A MOTOR VEHICLE ACCIDENT over $1,000.00",Open Not Active
2019-00000641,04/28/2019 12:28:00 am,"CONLEY AVE/TIGER AVE , Columbia MO,",,Driving Under The Influence,DRIVING WHILE INTOXICATED,Cleared by Arrest Adult
2019-00000641,04/28/2019 12:28:00 am,"CONLEY AVE/TIGER AVE , Columbia MO,",,Not Counted For UCR,OPERATED MOTOR VEHICLE IN A CARELESS AND IMPRUDENTMANNER - DID NOT RESULT IN AN ACCIDENT,Cleared by Arrest Adult
2019-00000641,04/28/2019 12:28:00 am,"CONLEY AVE/TIGER AVE , Columbia MO,",,"Poss/Non-Narcotic/Barbituates, etc.",POSSESS CONTROLLED SUBSTANCE EXCEPT 35 GRAMS OR LESS MARIJUANA,Cleared by Arrest Adult
2019-00000640,04/28/2019 12:25:00 am,"KUHLMAN COURT , Columbia MO,",,All Other Offenses (Except Traffic),RESIST ARREST/INTERFER W/MISD ARREST OR RESISTING BY FLIGHT,Cleared by Arrest Adult
2019-00000640,04/28/2019 12:25:00 am,"KUHLMAN COURT , Columbia MO,",,Forgery and Counterfeiting,POSSESS REPRODUCED/ALTERED LICENSE/I.D. CARD SHOWING OVER 21,Cleared by Arrest Adult
2019-00000640,04/28/2019 12:25:00 am,"KUHLMAN COURT , Columbia MO,",,Liquor Laws,LIQUOR LAWS - PERSON < 21 PURCHASE/POSSESS INTOX LIQUOR,Cleared by Arrest Adult
2019-00000639,04/27/2019 11:48:00 pm,"LOCUST ST/S  10TH ST, Columbia MO, 65201",,All Other Offenses (Except Traffic),False identification,Cleared by Arrest Adult
2019-00000639,04/27/2019 11:48:00 pm,"LOCUST ST/S  10TH ST, Columbia MO, 65201",,Liquor Laws,Purchase or possession of intoxicants by minor,Cleared by Arrest Adult
2019-00000637,04/27/2019 01:47:00 am,"906 VIRGINIA AVE, Columbia MO, 65201",,"Possession Marijuana, Hashish, etc.",Possession of 35 grams or less of marijuana,Cleared by Arrest Adult
2019-00000637,04/27/2019 01:47:00 am,"906 VIRGINIA AVE, Columbia MO, 65201",,"Possession Marijuana, Hashish, etc.",Possession of drug paraphernalia,Cleared by Arrest Adult
2019-00000636,04/27/2019 01:23:00 am,"PROVIDENCE/ROLLINS , Columbia MO,",,Driving Under The Influence,Driving While Intoxicated,Cleared by Arrest Adult
2019-00000636,04/27/2019 01:23:00 am,"PROVIDENCE/ROLLINS , Columbia MO,",,Not Counted For UCR,Prohibited turn,Cleared by Arrest Adult
2019-00000635,04/27/2019 01:13:00 am,"210 HITT ST, Columbia MO, 65201",,Discoderly Conduct,Public nuisance,Cleared by Arrest Adult
2019-00000634,04/26/2019 07:12:00 pm,"901 VIRGINIA AVE, Columbia MO, 65201",,Theft Non-Motor Vehicle,STEALING MISDEMEANOR,Open - Active
2019-00000634,04/26/2019 07:12:00 pm,"901 VIRGINIA AVE, Columbia MO, 65201",,Theft Non-Motor Vehicle,STEALING MISDEMEANOR,Open Not Active
2019-00000633,04/26/2019 01:24:00 pm,"905 HITT ST, Columbia MO, 65201",,Vandalism,PROPERTY DAMAGE 1ST DEGREE,Open - Active
2019-00000633,04/26/2019 01:24:00 pm,"905 HITT ST, Columbia MO, 65201",,Vandalism,PROPERTY DAMAGE 1ST DEGREE,Open Not Active
2019-00000631,04/26/2019 09:16:00 am,"PROVIDENCE RD/E  STADIUM BLVD, Columbia MO, 65203",,Not Counted For UCR,Driving Under Suspension,Cleared by Arrest Adult
2019-00000631,04/26/2019 09:16:00 am,"PROVIDENCE RD/E  STADIUM BLVD, Columbia MO, 65203",,Not Counted For UCR,Failure to Exhibit Proof of Insurance,Cleared by Arrest Adult
2019-00000631,04/26/2019 09:16:00 am,"PROVIDENCE RD/E  STADIUM BLVD, Columbia MO, 65203",,Not Counted For UCR,Operating an unlicensed motor vehicle,Cleared by Arrest Adult
2019-00000629,04/26/2019 08:01:00 am,"513 9TH ST, Columbia MO, 65201",,Theft Non-Motor Vehicle,Stealing,Open - Active
2019-00000629,04/26/2019 08:01:00 am,"513 9TH ST, Columbia MO, 65201",,Theft Non-Motor Vehicle,Stealing,Open Not Active
2019-00000628,04/25/2019 10:06:00 pm,"PROVIDENCE RD/E  STADIUM BLVD, Columbia MO, 65203",,Driving Under The Influence,Driving While Intoxicated,Cleared by Arrest Adult
2019-00000627,04/25/2019 04:55:00 pm,"1007 MARYLAND AVE, Columbia MO, 65201",,Vandalism,Second degree property damage,Open - Active
2019-00000627,04/25/2019 04:55:00 pm,"1007 MARYLAND AVE, Columbia MO, 65201",,Vandalism,Second degree property damage,Open Not Active
2019-00000625,04/25/2019 12:31:00 am,"ROLLINS ST/ MISSOURI AVE, Columbia MO, 65201",,Liquor Laws,Purchase or possession of intoxicants by minor,Cleared by Arrest Adult
2019-00000625,04/25/2019 12:31:00 am,"ROLLINS ST/ MISSOURI AVE, Columbia MO, 65201",,Not Counted For UCR,Stop sign violation,Cleared by Arrest Adult
2019-00000625,04/25/2019 12:31:00 am,"ROLLINS ST/ MISSOURI AVE, Columbia MO, 65201",,"Possession Marijuana, Hashish, etc.",Possession of 35 grams or less of marijuana,Cleared by Arrest Adult
2019-00000625,04/25/2019 12:31:00 am,"ROLLINS ST/ MISSOURI AVE, Columbia MO, 65201",,"Possession Marijuana, Hashish, etc.",Possession of drug paraphernalia,Cleared by Arrest Adult
2019-00000624,04/24/2019 06:53:00 pm,"CONLEY AVE/S  6TH ST, Columbia MO, 65201",,All Other Offenses (Except Traffic),Leaving the scene/Failure to report,Open - Active
2019-00000624,04/24/2019 06:53:00 pm,"CONLEY AVE/S  6TH ST, Columbia MO, 65201",,All Other Offenses (Except Traffic),Leaving the scene/Failure to report,Open Not Active
2019-00000623,04/24/2019 03:05:00 pm,"5TH ST/E  STEWART RD, Columbia MO, 65201",,All Other Offenses (Except Traffic),Leaving the scene/Failure to report,Open - Active
2019-00000623,04/24/2019 03:05:00 pm,"5TH ST/E  STEWART RD, Columbia MO, 65201",,All Other Offenses (Except Traffic),Leaving the scene/Failure to report,Unfounded
2019-00000622,04/24/2019 12:29:00 pm,"801 CONLEY AVE, Columbia MO, 65201",,Vandalism,Second degree property damage,Open - Active
2019-00000622,04/24/2019 12:29:00 pm,"801 CONLEY AVE, Columbia MO, 65201",,Vandalism,Second degree property damage,Open Not Active
2019-00000620,04/24/2019 10:38:00 am,"1101 HOSPITAL DR, Columbia MO, 65201",,Theft Non-Motor Vehicle,Stealing,Cleared by Arrest Adult
2019-00000620,04/24/2019 10:38:00 am,"1101 HOSPITAL DR, Columbia MO, 65201",,Theft Non-Motor Vehicle,Stealing,Open - Active
2019-00000619,04/24/2019 09:13:00 am,"603 SANFORD ST, Columbia MO, 65201",,All Other Offenses (Except Traffic),Leaving the scene/Failure to report,Open - Active
2019-00000619,04/24/2019 09:13:00 am,"603 SANFORD ST, Columbia MO, 65201",,All Other Offenses (Except Traffic),Leaving the scene/Failure to report,Open Not Active
2019-00000618,04/24/2019 03:06:00 am,"ROLLINS ST/E  CAMPUS DR, Columbia MO, 65201",,All Other Offenses (Except Traffic),Leaving the scene/Failure to report,Open - Active
2019-00000618,04/24/2019 03:06:00 am,"ROLLINS ST/E  CAMPUS DR, Columbia MO, 65201",,All Other Offenses (Except Traffic),Leaving the scene/Failure to report,Open Not Active
2019-00000617,04/24/2019 01:12:00 am,"ELM ST/S  9TH ST, Columbia MO, 65201",,Driving Under The Influence,DWI - PRIOR W/IN 5 YEARS,Cleared by Arrest Adult
2019-00000617,04/24/2019 01:12:00 am,"ELM ST/S  9TH ST, Columbia MO, 65201",,Not Counted For UCR,STOP LINE / POINT NEAREST INTERSECTION FOR STEADY RED SIGNAL AT CROSSWALK /,Cleared by Arrest Adult
